Unnamed: 0,Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,label
58,12:08:03.07,-0.11631,0.41978,-0.01251,0.06667,0.06667,0.13333,2
59,12:08:03.14,-0.415,0.58578,0.19038,0.13333,0.06667,0.13333,2
60,12:08:03.20,-0.444,0.24278,0.33606,0.06667,0.0,-0.0,2
61,12:08:03.27,0.11869,-0.09022,0.26283,0.0,0.0,0.03333,2
62,12:08:03.33,0.22669,-0.15922,0.07631,0.03333,0.0,0.03333,2
63,12:08:03.39,-0.07731,-0.07122,0.22111,0.06667,0.0,0.06667,2
64,12:08:03.45,-0.05731,0.08018,0.30682,0.03333,0.0,0.03333,2
65,12:08:03.52,-0.06731,0.04118,0.08472,0.0,0.0,-0.0,2
66,12:08:03.58,0.25058,-0.08122,0.15857,-0.03333,0.0,0.03333,0
67,12:08:03.64,0.19158,0.01678,0.14138,0.03333,0.0,-0.0,0
68,12:08:03.71,0.13258,0.04678,0.12068,0.0,0.0,-0.0,0
69,12:08:03.77,0.14258,0.04678,0.08699,-0.03333,0.03333,-0.0,0
70,12:08:03.83,0.08358,0.15478,0.04164,0.03333,0.0,0.03333,0
71,12:08:03.89,0.30958,-0.00222,0.21269,0.06667,0.0,-0.0,0
72,12:08:03.96,0.15258,0.10578,0.29639,0.03333,0.0,-0.0,0
73,12:08:04.02,0.30958,0.09578,0.40711,0.0,0.03333,0.03333,0
74,12:08:04.08,-0.04831,0.14478,0.22063,0.0,0.0,-0.0,0
75,12:08:04.15,0.08358,0.07578,0.26549,0.03333,-0.03333,0.03333,0
76,12:08:04.21,0.12258,-0.05122,0.02035,0.0,0.0,-0.0,0
77,12:08:04.27,0.21158,0.00778,0.08789,0.03333,0.0,-0.0,0
78,12:08:04.34,0.26058,0.00778,0.22103,0.0,-0.03333,-0.0,0
79,12:08:04.40,0.07358,0.07578,0.24816,0.03333,0.0,0.03333,0
80,12:08:04.46,0.25464,-0.01222,0.15146,0.0,-0.03333,-0.0,0
81,12:08:04.53,0.05864,0.05678,-0.00857,0.03333,-0.03333,-0.0,0
82,12:08:04.59,0.27464,-0.01222,0.09155,0.06667,-0.03333,-0.0,0
83,12:08:04.65,0.25464,0.07578,0.20544,0.03333,0.0,-0.0,0
84,12:08:04.72,0.15664,0.06678,0.18886,0.03333,0.0,-0.0,0
85,12:08:04.78,0.11764,0.08578,0.21873,0.0,0.03333,-0.0,0
86,12:08:04.85,0.10764,0.12478,0.25706,0.03333,0.0,-0.0,0
87,12:08:04.91,0.15664,0.11578,0.21314,0.0,0.0,-0.0,0
88,12:08:04.97,0.32364,0.03678,0.24854,0.0,0.0,-0.0,0
