,Scaler,Clusters,n_init,Init,Metric,Silhouette Score,Davies-Bouldin Score,Calinski-Harabasz Score,Dunn Index,Silhouette Score Norm,Dunn Index Norm,Davies-Bouldin Score Norm,Calinski-Harabasz Score Norm,Combined Score
31,RobustScaler,5,20,random,manhattan,0.3108722003045303,1.046651528693798,91.44074477432767,1.230565787280409,0.4425255644797113,0.2730681836175212,0.8172218845150278,0.7031228496823871,0.5589846205736618
89,MinMaxScaler,5,10,k-means++,manhattan,0.31998413332543074,1.1231129322890285,84.58609896608665,1.4757711722351412,0.48936910087167373,0.48489546685617774,0.7044819038531357,0.5481407030915666,0.5567217936681383
27,RobustScaler,5,10,random,manhattan,0.31105813343988375,1.0630959512744436,91.40746833221107,1.2265988606392686,0.4434814281337158,0.26964124707877046,0.7929750907528792,0.7023704760989211,0.5521170605160717
93,MinMaxScaler,5,20,k-means++,manhattan,0.31868525357140004,1.1192654859245323,84.63531697829048,1.361818260728373,0.4826916899548947,0.3864541717513824,0.7101548448185828,0.5492535123300996,0.5321385547137398
95,MinMaxScaler,5,20,random,manhattan,0.3163379086638017,1.1151699803853123,84.61556558403869,1.3376321268362918,0.47062422453879077,0.36556032786067105,0.716193541384194,0.5488069373260894,0.5252962577774363
91,MinMaxScaler,5,10,random,manhattan,0.3163379086638017,1.1151699803853123,84.61556558403869,1.3376321268362918,0.47062422453879077,0.36556032786067105,0.716193541384194,0.5488069373260894,0.5252962577774363
88,MinMaxScaler,5,10,k-means++,euclidean,0.31499291557102965,1.1136827137893464,84.58557822568008,1.3152212219092694,0.4637097495592569,0.34620006337672676,0.7183864700957295,0.5481289292569609,0.5191063030721685
79,MinMaxScaler,3,20,random,manhattan,0.28695444147325627,1.1091756575142941,87.68829361010876,1.3898206878727681,0.31956675830136594,0.4106448234663954,0.7250319855244202,0.61828069259986,0.5183810649730104
77,MinMaxScaler,3,20,k-means++,manhattan,0.28695444147325627,1.1091756575142941,87.68829361010876,1.3898206878727681,0.31956675830136594,0.4106448234663954,0.7250319855244202,0.61828069259986,0.5183810649730104
73,MinMaxScaler,3,10,k-means++,manhattan,0.28695444147325627,1.1091756575142941,87.68829361010876,1.3898206878727681,0.31956675830136594,0.4106448234663954,0.7250319855244202,0.61828069259986,0.5183810649730104
75,MinMaxScaler,3,10,random,manhattan,0.28695444147325627,1.1091756575142944,87.68829361010876,1.3898206878727681,0.31956675830136594,0.4106448234663954,0.7250319855244198,0.61828069259986,0.5183810649730103
92,MinMaxScaler,5,20,k-means++,euclidean,0.3133637825569771,1.1192654859245323,84.63531697829048,1.3000399049083315,0.4553345396607566,0.3330852733533055,0.7101548448185828,0.5492535123300996,0.5119570425406861
90,MinMaxScaler,5,10,random,euclidean,0.31237779839193275,1.117403020779975,84.62249384763732,1.2997669264711977,0.4502656936748156,0.33284945357010026,0.7129009922146259,0.5489635839559374,0.5112449308538698
94,MinMaxScaler,5,20,random,euclidean,0.31237779839193275,1.117403020779975,84.6224938476373,1.2997669264711977,0.4502656936748156,0.33284945357010026,0.7129009922146259,0.548963583955937,0.5112449308538697
16,RobustScaler,4,10,k-means++,euclidean,0.3110507338832345,1.232625295879515,94.37065536912213,1.1807436518688437,0.44344338775299874,0.23002798859354703,0.5430093023457304,0.7693675319028033,0.49646205264876986
21,RobustScaler,4,20,k-means++,manhattan,0.2960664319595486,1.2252263559673469,94.34775613462372,1.0497003818857578,0.36641059011716104,0.11682272651355059,0.5539188109787679,0.7688497848715002,0.45150047812024496
71,MinMaxScaler,2,20,random,manhattan,0.27866188083759746,1.4402804138727137,95.29140842216779,1.324585109696268,0.2769355333979315,0.35428931031898997,0.23682823731024003,0.7901855710302963,0.4145596630143644
69,MinMaxScaler,2,20,k-means++,manhattan,0.27866188083759746,1.4402804138727137,95.29140842216779,1.324585109696268,0.2769355333979315,0.35428931031898997,0.23682823731024003,0.7901855710302963,0.4145596630143644
67,MinMaxScaler,2,10,random,manhattan,0.27866188083759746,1.4402804138727137,95.29140842216779,1.324585109696268,0.2769355333979315,0.35428931031898997,0.23682823731024003,0.7901855710302963,0.4145596630143644
65,MinMaxScaler,2,10,k-means++,manhattan,0.27866188083759746,1.4402804138727137,95.29140842216779,1.324585109696268,0.2769355333979315,0.35428931031898997,0.23682823731024003,0.7901855710302963,0.4145596630143644
70,MinMaxScaler,2,20,random,euclidean,0.2768834250165158,1.4402804138727137,95.29140842216779,1.2961044261175865,0.26779266988200723,0.32968550388804363,0.23682823731024003,0.7901855710302963,0.4061229955276468
68,MinMaxScaler,2,20,k-means++,euclidean,0.2768834250165158,1.4402804138727137,95.29140842216779,1.2961044261175865,0.26779266988200723,0.32968550388804363,0.23682823731024003,0.7901855710302963,0.4061229955276468
66,MinMaxScaler,2,10,random,euclidean,0.2768834250165158,1.4402804138727137,95.29140842216779,1.2961044261175865,0.26779266988200723,0.32968550388804363,0.23682823731024003,0.7901855710302963,0.4061229955276468
64,MinMaxScaler,2,10,k-means++,euclidean,0.2768834250165158,1.4402804138727137,95.29140842216779,1.2961044261175865,0.26779266988200723,0.32968550388804363,0.23682823731024003,0.7901855710302963,0.4061229955276468
58,StandardScaler,5,10,random,euclidean,0.2785977785731443,1.1425974150869034,61.93280940984085,1.4510654578775695,0.276605990067133,0.4635527693709621,0.6757526350907139,0.03595443687348506,0.3629664578505735
