,Scaler,Clusters,n_init,Init,Metric,Silhouette Score,Davies-Bouldin Score,Calinski-Harabasz Score,Dunn Index,Silhouette Score Norm,Dunn Index Norm,Davies-Bouldin Score Norm,Calinski-Harabasz Score Norm,Combined Score
19,StandardScaler,2,10,random,manhattan,0.2549053431273471,1.6640844283691831,1061.6826606128009,1.1673843751045005,0.15259668387812533,0.23577525962692325,0.0321923739906196,0.12886316610475065,0.1373568709001047
56,PowerTransformer,3,10,k-means++,euclidean,0.27042672385800387,1.563295520305064,940.3884970340417,1.0535146194354579,0.2338527910018657,0.056493847611707435,0.20027202490452797,0.0039150264469366095,0.12363342249125943
62,PowerTransformer,3,20,random,euclidean,0.2705458308516326,1.5637289892702186,940.4698806555659,1.0534428072214683,0.23447632899770687,0.05638078339155221,0.19954915456348954,0.003998861742947874,0.12360128217392413
60,PowerTransformer,3,20,k-means++,euclidean,0.270407518669722,1.5648594221114294,940.4442725164363,1.0515196811277638,0.23375224976372186,0.053352931443184676,0.19766399913337573,0.003972482160864602,0.12218541562528672
58,PowerTransformer,3,10,random,euclidean,0.26667059182933806,1.5849454629886386,936.5879613912512,1.0572782786113333,0.21418903351865715,0.06241951353968315,0.164167706696751,0.0,0.11019406343877283
51,PowerTransformer,2,10,random,manhattan,0.23133818933763176,1.6831364788715861,1035.8863276181341,1.1904336809953135,0.029220084452505783,0.27206507233264265,0.00042040563472811333,0.10228972083271833,0.10099882081314872
53,PowerTransformer,2,20,k-means++,manhattan,0.23133818933763176,1.6831364788715861,1035.8863276181341,1.1904336809953135,0.029220084452505783,0.27206507233264265,0.00042040563472811333,0.10228972083271833,0.10099882081314872
49,PowerTransformer,2,10,k-means++,manhattan,0.2312604788131,1.6833885749738677,1035.8858724114643,1.1906598790673009,0.028813261450379248,0.2724212082486524,0.0,0.10228925191298736,0.10088093040300476
55,PowerTransformer,2,20,random,manhattan,0.2312604788131,1.6833885749738677,1035.8858724114643,1.1900707037581624,0.028813261450379248,0.2714935854507793,0.0,0.10228925191298736,0.10064902470353648
18,StandardScaler,2,10,random,euclidean,0.2502224703103524,1.6605005796673464,1061.6766289013622,1.0846058794523132,0.128081338119419,0.1054452567405272,0.03816894472943307,0.12885695268853192,0.1001381230694778
22,StandardScaler,2,20,random,euclidean,0.24938492249372238,1.6619472165734794,1061.6847542406615,1.083749136157346,0.12369668469906167,0.10409636346545303,0.03575647463870319,0.12886532280296767,0.09810371140154639
20,StandardScaler,2,20,k-means++,euclidean,0.2482563705313583,1.6636070791104436,1061.6892612862607,1.0832150209479074,0.11778859309691185,0.10325542964273329,0.032988420880242744,0.12886996562292172,0.0957256023107024
16,StandardScaler,2,10,k-means++,euclidean,0.2482563705313583,1.6636070791104436,1061.6892612862607,1.0832150209479074,0.11778859309691185,0.10325542964273329,0.032988420880242744,0.12886996562292172,0.0957256023107024
52,PowerTransformer,2,20,k-means++,euclidean,0.22581371223422833,1.6829933579764664,1035.8828791572819,1.1135731735804941,0.00029884921534885595,0.15105260316054084,0.0006590798157689598,0.10228616848728421,0.06357417516973572
50,PowerTransformer,2,10,random,euclidean,0.22582769567718375,1.6831364788715861,1035.8863276181341,1.1136282557026043,0.00037205405185543653,0.15113932680871833,0.00042040563472811333,0.10228972083271833,0.06355537683200506
54,PowerTransformer,2,20,random,euclidean,0.22575662664870522,1.6833885749738677,1035.8858724114643,1.1136410184211565,0.0,0.1511594209784981,0.0,0.10228925191298736,0.06336216822287137
48,PowerTransformer,2,10,k-means++,euclidean,0.22575662664870522,1.6833885749738677,1035.8858724114643,1.1134369842594845,0.0,0.15083818087054338,0.0,0.10228925191298736,0.06328185819588268
