,Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,seconds
800,12:55:07.780000,0.649,-0.53251,0.27937,0.06667,0.06667,-0.03333,46507.78
801,12:55:07.810000,-0.13317,-0.65238,0.24599,0.0,0.13333,-0.0,46507.81
802,12:55:07.850000,-0.33546,-0.66238,0.11674,-0.06667,0.0,-0.03333,46507.85
803,12:55:07.880000,0.17454,-0.69138,0.20143,0.03333,0.1,-0.03333,46507.88
804,12:55:07.910000,0.03654,-0.55438,0.29643,0.06667,0.2,-0.03333,46507.91
805,12:55:07.940000,-0.15482,-0.86071,0.42604,-0.1,0.0,-0.03333,46507.94
806,12:55:07.970000,0.23354,-0.95871,0.42201,-0.03333,0.0,-0.06667,46507.97
807,12:55:08.010000,-0.08582,-0.68471,0.29154,0.06667,0.13333,-0.0,46508.01
808,12:55:08.040000,-0.28182,-0.83171,0.36999,-0.06667,-0.03333,-0.03333,46508.04
809,12:55:08.070000,0.04118,-0.84071,0.33995,0.0,0.16667,-0.03333,46508.07
810,12:55:08.100000,-0.13022,-0.77271,0.26493,0.03333,0.26667,-0.0,46508.1
811,12:55:08.140000,-0.35522,-0.84071,0.23273,0.03333,0.26667,-0.0,46508.14
812,12:55:08.170000,-0.02222,-1.04046,0.34818,-0.1,-0.03333,-0.06667,46508.17
813,12:55:08.200000,0.00441,-1.09946,0.52254,0.0,0.26667,-0.03333,46508.2
814,12:55:08.230000,0.00441,-1.09946,0.52254,0.0,0.26667,-0.03333,46508.23
815,12:55:08.260000,-0.41989,-0.98146,0.39846,-0.13333,0.13333,-0.1,46508.26
816,12:55:08.290000,0.16811,-1.53458,0.82498,0.0,0.46667,-0.06667,46508.29
817,12:55:08.320000,-0.06807,-1.06946,0.86208,0.1,0.73333,-0.03333,46508.32
818,12:55:08.350000,-0.63589,-1.04358,0.90035,-0.06667,0.8,-0.03333,46508.35
819,12:55:08.380000,-1.03542,-1.10258,1.41143,-0.23333,0.73333,-0.0,46508.38
820,12:55:08.410000,0.11048,-1.763,2.25287,-0.1,1.8,-0.03333,46508.41
821,12:55:08.440000,-0.679,-1.548,2.16627,-0.03333,2.33333,-0.06667,46508.44
822,12:55:08.480000,-0.70068,-1.626,1.28818,-0.83333,1.7,-0.06667,46508.48
823,12:55:08.510000,-0.24378,-1.812,1.21095,-0.86667,1.8,-0.1,46508.51
824,12:55:08.540000,0.06783,-1.803,1.1786,-0.8,2.03333,-0.1,46508.54
825,12:55:08.570000,-0.12764,-1.655,0.97571,-0.8,2.33333,-0.0,46508.57
826,12:55:08.600000,-0.0424,-1.52169,0.39771,-1.3,1.8,-0.0,46508.6
827,12:55:08.630000,0.64328,-1.62458,0.74115,-1.23333,2.0,0.03333,46508.63
828,12:55:08.660000,-0.0887,-1.55479,-0.02359,-1.16667,2.8,0.23333,46508.66
829,12:55:08.690000,-0.26839,-1.275,-0.28689,-1.13333,2.7,0.26667,46508.69
830,12:55:08.720000,-0.32835,-0.932,-0.3358,-0.9,2.86667,0.23333,46508.72
831,12:55:08.750000,-0.83402,-0.83821,-0.52818,-0.86667,2.7,0.26667,46508.75
832,12:55:08.780000,-1.11017,-0.51936,-0.52989,-0.9,2.33333,0.26667,46508.78
833,12:55:08.820000,-1.11017,-0.51936,-0.52989,-0.9,2.33333,0.26667,46508.82
834,12:55:08.840000,-0.77235,-0.46931,-0.19263,-1.36667,1.36667,0.2,46508.84
835,12:55:08.880000,-0.66457,-0.88942,-0.08177,-1.43333,1.3,0.1,46508.88
836,12:55:08.910000,-0.66457,-0.88942,-0.08177,-1.43333,1.3,0.1,46508.91
837,12:55:08.940000,-0.77063,-0.73242,-0.03245,-1.16667,1.46667,0.06667,46508.94
838,12:55:08.970000,-0.97667,-0.94154,-1.87925,-1.33333,1.06667,0.06667,46508.97
839,12:55:09,-0.97667,-0.94154,-1.87925,-1.33333,1.06667,0.06667,46509.0
840,12:55:09.030000,-0.90102,-0.68654,-3.78781,-1.03333,0.8,-0.0,46509.03
841,12:55:09.060000,-0.318,-0.58854,-3.70915,-0.96667,0.6,-0.1,46509.06
842,12:55:09.090000,-0.60151,-0.58854,-4.69834,-0.9,0.63333,-0.06667,46509.09
843,12:55:09.120000,-0.64602,-0.52954,-4.70929,-0.83333,0.46667,-0.06667,46509.12
844,12:55:09.150000,-0.03056,-0.71242,-4.66703,-0.5,0.2,-0.26667,46509.15
845,12:55:09.180000,-0.03056,-0.71242,-4.66703,-0.5,0.2,-0.26667,46509.18
846,12:55:09.210000,-0.03056,-0.71242,-4.66703,-0.5,0.2,-0.26667,46509.21
847,12:55:09.240000,0.57233,-0.444,-3.71067,-0.23333,-0.23333,-0.36667,46509.24
848,12:55:09.270000,0.81733,-0.23431,-3.41221,-0.03333,0.4,-0.13333,46509.27
849,12:55:09.310000,0.81733,-0.23431,-3.41221,-0.03333,0.4,-0.13333,46509.31
