,Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,label
107,11:22:15.62,-4.88135,0.66183,-2.01671,0.03333,-0.7,-0.76667,1
108,11:22:15.69,-2.71972,0.77509,-0.07702,0.53333,-3.16667,-1.6,1
109,11:22:15.75,-0.30739,0.77235,-0.06251,1.13333,-1.93333,-1.73333,1
110,11:22:15.81,-0.84058,1.45311,-0.3754,0.96667,-3.0,-1.83333,1
111,11:22:15.88,-0.07678,1.23475,-0.84668,1.23333,-2.8,-1.63333,1
112,11:22:15.94,1.73711,1.21958,0.01091,1.1,-1.93333,-1.26667,1
113,11:22:16.01,0.266,1.17664,-1.18271,0.76667,-2.76667,-1.13333,1
114,11:22:16.07,3.82758,1.01321,2.27053,1.53333,-1.73333,-0.93333,1
115,11:22:16.13,3.91542,1.001,2.12452,1.2,-1.96667,-0.6,1
116,11:22:16.20,1.22354,0.83254,-0.1041,0.6,-1.86667,-0.63333,1
117,11:22:16.26,3.68501,0.73249,1.94026,1.03333,-0.63333,-0.53333,1
118,11:22:16.33,4.19746,0.24461,2.13583,0.33333,-0.7,-0.16667,1
119,11:22:16.39,3.80522,0.57877,1.65274,0.23333,-0.36667,-0.0,1
120,11:22:16.45,2.50222,0.22577,1.07281,0.13333,-0.03333,-0.03333,1
121,11:22:16.52,3.07122,0.64777,1.23525,0.0,0.23333,-0.03333,1
122,11:22:16.58,2.41346,0.44177,0.77786,0.0,0.23333,-0.03333,1
123,11:22:16.65,2.75017,0.42161,0.52935,-0.1,0.3,-0.03333,1
124,11:22:16.71,2.076,0.35184,0.17005,-0.13333,0.16667,-0.0,1
125,11:22:16.77,2.10825,0.27149,0.08383,0.03333,0.4,-0.0,1
126,11:22:16.83,1.49061,0.35049,0.24787,-0.03333,-0.03333,-0.0,1
127,11:22:16.89,1.49749,0.26962,0.11807,-0.1,0.26667,-0.06667,1
128,11:22:16.96,1.49129,-0.05671,0.25316,-0.13333,0.0,-0.03333,1
129,11:22:17.02,1.33154,-0.10846,0.27619,-0.13333,-0.1,-0.0,1
130,11:22:17.08,0.796,0.07442,0.15891,0.0,0.13333,-0.0,1
131,11:22:17.15,1.06531,-0.4,0.19857,0.0,-0.2,-0.0,1
132,11:22:17.21,0.57142,-0.224,0.05601,0.03333,0.06667,-0.03333,1
133,11:22:17.28,0.74742,-0.234,0.13669,0.1,0.03333,-0.0,1
134,11:22:17.34,0.50836,-0.292,0.18022,0.0,0.03333,-0.0,1
135,11:22:17.40,0.44936,-0.184,0.24605,0.06667,0.03333,-0.0,0
136,11:22:17.46,0.15121,-0.253,0.20424,0.0,0.0,-0.03333,0
137,11:22:17.53,0.40521,-0.145,0.45718,0.0,0.03333,-0.0,0
138,11:22:17.59,0.32721,-0.145,0.21313,0.0,0.0,-0.0,0
139,11:22:17.65,0.234,-0.047,0.18671,-0.03333,0.1,-0.0,0
140,11:22:17.72,0.225,-0.165,0.05217,0.03333,0.0,-0.0,0
141,11:22:17.78,0.254,-0.135,0.31113,0.0,0.0,-0.0,0
142,11:22:17.85,0.44,-0.214,0.31611,0.03333,0.03333,-0.0,0
143,11:22:17.91,0.254,-0.32569,0.21606,0.0,0.0,-0.0,0
144,11:22:17.97,0.323,-0.26669,0.22227,0.0,0.0,-0.0,0
145,11:22:18.04,0.529,-0.30569,0.31248,0.0,0.0,-0.0,0
146,11:22:18.10,0.24979,-0.17869,0.25672,0.0,0.0,-0.0,0
147,11:22:18.17,0.16079,-0.18869,0.15716,0.03333,0.06667,-0.0,0
148,11:22:18.23,0.10279,-0.33569,0.28581,0.0,-0.03333,-0.0,0
149,11:22:18.29,0.24979,-0.32569,0.29961,0.0,-0.03333,-0.0,0
150,11:22:18.35,0.52379,-0.37469,0.33769,0.0,0.0,-0.0,0
151,11:22:18.42,0.14179,-0.11969,0.19951,0.06667,0.0,-0.03333,0
152,11:22:18.47,0.31779,-0.27669,0.30785,0.0,0.0,-0.0,0
153,11:22:18.53,0.21979,-0.21769,0.2014,0.0,-0.03333,-0.0,0
154,11:22:18.59,0.18079,-0.23769,0.25031,0.06667,0.03333,-0.0,0
155,11:22:18.66,0.30879,-0.22769,0.23476,0.03333,0.0,-0.0,0
156,11:22:18.72,0.26879,-0.29669,0.29764,0.03333,0.0,-0.03333,0
157,11:22:18.78,0.29879,-0.16869,-0.0332,0.03333,0.1,-0.03333,0
158,11:22:18.85,0.63179,-0.25669,0.42192,0.0,0.0,0.06667,0
159,11:22:18.91,0.26879,-0.19869,0.30773,-0.03333,0.1,0.06667,0
160,11:22:18.97,0.14664,-0.20769,0.27205,0.1,0.0,-0.0,0
161,11:22:19.03,0.12764,-0.21769,0.25322,0.03333,0.0,-0.03333,0
162,11:22:19.10,0.04864,-0.18869,0.28612,0.06667,-0.03333,-0.03333,0
163,11:22:19.16,0.35779,-0.34569,0.31632,0.03333,0.03333,-0.03333,0
164,11:22:19.22,0.26879,-0.008,0.07323,0.0,-0.06667,-0.03333,0
165,11:22:19.29,0.31779,-0.057,0.13821,0.06667,0.0,-0.0,1
166,11:22:19.35,0.26879,-0.116,0.22846,0.03333,-0.03333,-0.03333,1
167,11:22:19.41,0.16079,-0.106,0.12648,0.06667,0.03333,-0.0,1
168,11:22:19.48,0.40679,-0.184,0.40662,0.1,0.0,-0.03333,1
169,11:22:19.54,0.26879,-0.165,0.33991,0.03333,0.06667,-0.0,1
170,11:22:19.60,0.03864,-0.283,0.79495,0.0,0.06667,-0.0,1
171,11:22:19.67,0.69564,-0.273,0.92044,-0.03333,0.4,-0.13333,1
172,11:22:19.73,1.292,0.34131,2.03567,-0.8,2.06667,0.23333,1
173,11:22:19.79,1.71851,0.23921,2.62459,-0.9,2.16667,0.26667,1
174,11:22:19.86,2.26711,0.55069,2.54389,-1.2,3.8,0.73333,1
175,11:22:19.92,1.79319,-0.07462,1.16958,-0.8,3.73333,1.33333,1
176,11:22:19.98,1.33875,-0.60801,0.69052,-0.86667,3.6,1.96667,1
177,11:22:20.05,-0.56481,-1.22389,-0.34385,-0.43333,3.43333,2.23333,1
178,11:22:20.11,-1.92115,-0.83398,-0.37558,-0.4,2.36667,2.26667,1
179,11:22:20.17,-2.95935,-0.73617,-0.25078,-0.06667,1.76667,1.93333,1
180,11:22:20.24,-3.6456,-0.26894,-0.09203,-0.03333,1.5,1.6,1
181,11:22:20.30,-4.94863,-0.18072,-0.04798,0.03333,1.33333,1.3,1
182,11:22:20.37,-5.57122,-0.07325,-0.95874,0.06667,1.0,0.83333,1
183,11:22:20.43,-5.80722,0.1953,-1.32448,0.0,0.36667,0.56667,1
184,11:22:20.49,-5.73896,0.47575,-2.52991,0.0,0.0,0.16667,1
185,11:22:20.55,-5.92376,0.16942,-2.01251,0.0,-0.06667,-0.03333,1
186,11:22:20.61,-5.99957,0.52328,-1.46536,0.0,-0.5,-0.43333,1
187,11:22:20.68,-5.58698,0.3886,-1.28014,-0.06667,-0.53333,-0.93333,1
188,11:22:20.74,-4.81542,0.74419,-1.24565,0.0,-1.66667,-1.66667,1
189,11:22:20.80,-4.65467,0.11922,-1.14807,-0.06667,-2.6,-1.86667,1
190,11:22:20.87,-2.36786,-0.49007,-0.77502,0.2,-3.3,-2.33333,1
191,11:22:20.93,-0.55425,0.835,-0.56862,1.0,-2.0,-2.26667,1
192,11:22:21.00,1.62809,1.70958,0.3161,1.46667,-2.66667,-1.7,1
193,11:22:21.06,3.35511,0.156,0.92401,1.3,-3.46667,-1.7,1
194,11:22:21.12,1.41139,1.893,-0.07951,1.26667,-3.2,-1.16667,1
